,ID,jamfaktor,tedadfaktor,jamMarjoee,TedadMarjoee,jamNaghd,TedadNaghd,jamcheck,Tedadcheck,tedadBargashti,JamBargashti,TedadBargashtiHazer,RialBashtiHazer,jamBedehi,TedadBedehi,Malek,Metrajh,EtebarRial,EtebarTedady,EtebarRialiNaghdi,Khas,sNoePardakht,akharinFaktor,AvalinFaktor,AkharinMarjoee,AvalinMarjoee
5644,35541,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5645,35542,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5646,35543,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5647,35544,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5648,35545,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5649,35546,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5650,35547,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5651,35548,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5652,35549,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5653,35550,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5654,35551,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5655,35552,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5656,35553,270000.0,1,0.0,0,270000,1,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,1903,1903,0,0
5657,35554,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5658,35556,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5659,35557,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5660,35558,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5661,35559,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5662,35560,410000.0,1,0.0,0,0,0,0,0,0,0,0,,410000.0,1,0,0,0,0,0,0,0,1871,1871,0,0
5663,35561,0.0,0,0.0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
